CHROM	start	end	n_snps
OZ241436.1	8861047	8886212	2
OZ241436.1	11445913	11445913	1
OZ241436.1	12289910	12336002	2
OZ241437.1	1665967	1665967	1
OZ241437.1	9376317	9376318	2
OZ241437.1	11984574	11984574	1
OZ241437.1	12451689	12451689	1
OZ241438.1	825081	825085	2
OZ241438.1	5761699	5761701	2
OZ241438.1	5848145	5848145	1
OZ241438.1	8942245	8942330	9
OZ241438.1	10757324	10757324	1
OZ241439.1	594240	594240	1
OZ241439.1	1779760	1779841	8
OZ241439.1	3666196	3666196	1
OZ241439.1	5231060	5231392	2
OZ241439.1	6275299	6275299	1
OZ241439.1	9570899	9570899	1
OZ241440.1	1146483	1146513	4
OZ241440.1	2923047	2923047	1
OZ241440.1	6752700	6752738	2
OZ241440.1	6858274	6858274	1
OZ241440.1	7170843	7182628	4
OZ241440.1	7235334	7251849	9
OZ241440.1	7805535	7805535	1
OZ241441.1	239912	239912	1
OZ241441.1	3421539	3421539	1
OZ241441.1	3990846	3990846	1
OZ241441.1	9179140	9179140	1
OZ241441.1	10384052	10384097	3
OZ241441.1	10561772	10561772	1
OZ241441.1	11356031	11356033	2
OZ241441.1	12098580	12098580	1
OZ241442.1	9173903	9173903	1
OZ241442.1	10920423	10920454	3
OZ241443.1	235102	235102	1
OZ241443.1	3393002	3393002	1
OZ241443.1	3740752	3740752	1
OZ241443.1	4401706	4401706	1
OZ241443.1	7582575	7582598	3
OZ241444.1	4770042	4770042	1
OZ241444.1	6021028	6021028	1
OZ241444.1	6438660	6438660	1
OZ241444.1	6840545	6840545	1
OZ241444.1	7264341	7264354	2
OZ241444.1	8046057	8046456	7
OZ241444.1	8139714	8139714	1
OZ241445.1	5505149	5505266	2
OZ241445.1	5676750	5676817	3
OZ241445.1	5739878	5739878	1
OZ241445.1	7475484	7475484	1
OZ241445.1	8612841	8612841	1
OZ241445.1	8967922	8967922	1
OZ241446.1	2139466	2139466	1
OZ241446.1	5728882	5728882	1
OZ241446.1	7727062	7727062	1
OZ241446.1	8712932	8712932	1
OZ241446.1	9328326	9328374	2
OZ241446.1	9887521	9887521	1
OZ241447.1	1522717	1544880	4
OZ241447.1	4644900	4644900	1
OZ241447.1	6004689	6004689	1
OZ241447.1	8740640	8740657	2
OZ241447.1	10868992	10868992	1
OZ241448.1	1409622	1409651	2
OZ241448.1	4654721	4654721	1
OZ241448.1	5129050	5129050	1
OZ241448.1	6311128	6311154	2
OZ241448.1	6564572	6573024	4
OZ241448.1	8370094	8370094	1
OZ241449.1	2138523	2160984	6
OZ241449.1	4342237	4342237	1
OZ241449.1	4583761	4583761	1
OZ241450.1	8035371	8035373	2
OZ241450.1	8775906	8775929	2
OZ241450.1	9356637	9356640	2
OZ241450.1	10383555	10383555	1
OZ241450.1	11051261	11088842	2
OZ241451.1	709218	709218	1
OZ241451.1	899119	899120	2
OZ241451.1	1099582	1099582	1
OZ241451.1	2159651	2159729	4
OZ241451.1	2559879	2559879	1
OZ241451.1	4631460	4631460	1
OZ241451.1	9545250	9545264	3
OZ241452.1	213533	225706	6
OZ241452.1	1161821	1161840	2
OZ241452.1	1915346	1915346	1
OZ241452.1	2008419	2008472	2
OZ241452.1	3815063	3815063	1
OZ241452.1	4317246	4317246	1
OZ241452.1	10344022	10344022	1
OZ241453.1	2780057	2780057	1
OZ241453.1	6029920	6029943	2
OZ241454.1	834525	834565	3
OZ241454.1	5577012	5577062	5
OZ241454.1	6001235	6032831	3
